,Nick,League Points,Total Games,Daily League Points,Daily Games
347,Sissela,410,123,0,0
348,토토로11,409,378,0,0
349,입닫체스,408,320,0,0
350,영타구니,408,241,0,0
351,부먹민초진순하와이안피자펩시맥콜,408,258,0,0
340,드박ºº,407,197,0,0
352,검사기,407,325,0,0
354,초코슈크림 워니,406,193,0,0
355,고유나,406,105,0,0
356,인턴 멈춰,406,252,0,0
357,웨 돌,406,541,0,0
358,귀살대 장우석,406,385,0,0
359,엉망진창 보리님,406,277,0,0
360,매탄동강형욱,406,370,0,0
361,용바위운용기재병,406,151,0,0
362,팔차신,406,336,0,0
363,맞워요,405,146,0,0
364,너엉로,405,167,0,0
393,Bellruns,405,254,0,0
367,게임잘하는남자1,404,266,0,0
394,RST22900,404,416,0,0
423,일단 주면 먹어,404,184,0,0
425,Lego77,403,195,0,0
426,못하는라인CS압수,402,116,0,0
427,Hz 한남종민,400,274,0,0
428,매직아이스,400,347,0,0
429,겟앰13년차,400,332,0,0
430,자꾸막만졌잖아요,399,130,0,0
431,저 애인 있어요,399,182,0,0
432,지 존 일 짱,399,285,0,0
433,카라멜s,399,394,0,0
424,편식왕,398,295,0,0
434,JzuZzz,398,317,0,0
435,쫌붙어라,398,264,0,0
436,순방할래,397,263,0,0
438,맛집밍9,397,366,0,0
439,BrcT 루이,396,159,0,0
440,저니밍,396,849,0,0
441,아 탑가고 싶다,396,235,0,0
442,딜폿하면던져요,396,370,0,0
443,미친꼴리는플레이,395,351,0,0
444,battle symphony,395,265,0,0
445,유색2,395,299,0,0
446,노루야놀자,395,241,0,0
437,강도깨비야,394,690,0,0
447,마스터 3,394,130,0,0
448,롤토만합니당,394,548,0,0
397,롯데리아 사거리,393,226,0,0
398,이름이이렇게길어도되나싶을정도로,393,332,0,0
409,꿀자몽차,393,238,0,0
421,걸작장이 오른,393,212,0,0
422,Kkame2,393,84,0,0
399,로또운롤토체스에쓰는사람,392,108,0,0
400,HeoMa,392,385,0,0
401,산소닭,392,372,0,0
402,tft 땅꼬마,391,197,0,0
403,Demarai Gray,390,120,0,0
404,전잘난맛에살아요,390,637,0,0
405,녕준이,389,132,0,0
406,목없는사람,389,408,0,0
407,모래주머니,389,160,0,0
396,DAGU,388,286,0,0
408,상엽이형,388,230,0,0
410,무지성탑이되고파,388,270,0,0
411,Sejong 공룡,388,353,0,0
412,랑리쓰리랑,388,361,0,0
413,탐욕의 죄,388,318,0,0
414,무빙느낌있어,388,290,0,0
415,만두라에몽,386,411,0,0
416,소라게 다 내꺼,386,238,0,0
417,Real Cuzz,386,239,0,0
418,준떡대,386,99,0,0
338,실 세,385,419,0,0
339,Hz UmCri,385,296,0,0
395,기분대로하는사람,385,193,0,0
